time,open,high,low,close
1742396400,5976.5,6027.5,5962.75,6024.5
1742410800,6024.25,6052.25,6007.75,6025.75
1742425200,6025.5,6036.75,6023.5,6035
1742439600,6035.25,6041.75,6031.75,6032.75
1742454000,6033,6039.75,5964.25,5982.75
1742468400,5982.75,6047,5966.25,6035
1742482800,6035.25,6040,5976.75,5984.25
1742497200,5984.25,6006.25,5983.25,5996.75
1742511600,5996.75,6005.5,5987.5,6001
1742526000,6001.25,6001.25,5981,5997.5
1742540400,5997.75,5999,5965.75,5978.25
1742554800,5978.25,5985,5933,5969
1742569200,5969,5994,5940.5,5980.25
1742583600,5980.25,6004,5969.75,6001.75
